,Question,Answer
0,What is the supreme law of the land?,the Constitution
1,What does the Constitution do?,sets up the government; defines the government; protects basic rights of Americans
2,The idea of self-government is in the first three words of the Constitution. What are these words?,We the People
3,What is an amendment?,a change (to the Constitution); an addition (to the Constitution)
4,What do we call the first ten amendments to the Constitution?,the Bill of Rights
5,What is one right or freedom from the First Amendment?,speech; religion; assembly; press; petition the government
6,How many amendments does the Constitution have?,twenty-seven (27)
7,What did the Declaration of Independence do?,announced our independence (from Great Britain); declared our independence (from Great Britain); said that the United States is free (from Great Britain)
8,What are two rights in the Declaration of Independence?,life; liberty; pursuit of happiness
9,What is freedom of religion?,"You can practice any religion, or not practice a religion."
10,What is the economic system in the United States?,capitalist economy; market economy
11,What is the 'rule of law'?,Everyone must follow the law; Leaders must obey the law; Government must obey the law; No one is above the law.
12,Name one branch or part of the government.,Congress; legislative; President; executive; the courts; judicial
13,What stops one branch of government from becoming too powerful?,checks and balances; separation of powers
14,Who is in charge of the executive branch?,the President
15,Who makes federal laws?,Congress; Senate and House (of Representatives); (U.S. or national) legislature
16,What are the two parts of the U.S. Congress?,the Senate and House (of Representatives)
17,How many U.S. Senators are there?,one hundred (100)
18,We elect a U.S. Senator for how many years?,six (6)
19,Who does a U.S. Senator represent?,all people of the state
20,Why do some states have more Representatives than other states?,because of the state’s population; because they have more people; because some states have more people
21,We elect a President for how many years?,four (4)
22,In what month do we vote for President?,November
23,"If the President can no longer serve, who becomes President?",the Vice President
24,"If both the President and the Vice President can no longer serve, who becomes President?",the Speaker of the House
25,Who is the Commander in Chief of the military?,the President
26,Who signs bills to become laws?,the President
27,Who vetoes bills?,the President
28,What does the President’s Cabinet do?,advises the President
29,What are two Cabinet-level positions?,Secretary of Agriculture; Secretary of Commerce; Secretary of Defense; Secretary of Education; Secretary of Energy; Secretary of Health and Human Services; Secretary of Homeland Security; Secretary of Housing and Urban Development; Secretary of the Interior; Secretary of Labor; Secretary of State; Secretary of Transportation; Secretary of the Treasury; Secretary of Veterans Affairs; Attorney General; Vice President
30,What does the judicial branch do?,reviews laws; explains laws; resolves disputes (disagreements); decides if a law goes against the Constitution
31,What is the highest court in the United States?,the Supreme Court
32,How many justices are on the Supreme Court?,Visit uscis.gov/citizenship/testupdates for the number of justices on the Supreme Court.
33,Who is the Chief Justice of the United States now?,Visit uscis.gov/citizenship/testupdates for the name of the Chief Justice of the United States.
34,"Under our Constitution, some powers belong to the federal government. What is one power of the federal government?",to print money; to declare war; to create an army; to make treaties
35,"Under our Constitution, some powers belong to the states. What is one power of the states?",provide schooling and education; provide protection (police); provide safety (fire departments); give a driver’s license; approve zoning and land use
36,Who is the Governor of your state now?,Answers will vary.
37,What is the capital of your state?,Answers will vary.
38,What are the two major political parties in the United States?,Democratic and Republican
39,What is the political party of the President now?,Visit uscis.gov/citizenship/testupdates for the political party of the President.
40,What is the name of the Speaker of the House of Representatives now?,Visit uscis.gov/citizenship/testupdates for the name of the Speaker of the House of Representatives.
41,There are four amendments to the Constitution about who can vote. Describe one of them.,Citizens eighteen (18) and older (can vote); You don’t have to pay (a poll tax) to vote; Any citizen can vote (Women and men can vote); A male citizen of any race (can vote).
42,What is one responsibility that is only for United States citizens?,serve on a jury; vote in a federal election
43,Name one right only for United States citizens.,vote in a federal election; run for federal office
44,What are two rights of everyone living in the United States?,freedom of expression; freedom of speech; freedom of assembly; freedom to petition the government; freedom of religion; the right to bear arms
45,What do we show loyalty to when we say the Pledge of Allegiance?,the United States; the flag
46,What is one promise you make when you become a United States citizen?,give up loyalty to other countries; defend the Constitution and laws of the United States; obey the laws of the United States; serve in the U.S. military (if needed); serve (do important work for) the nation (if needed); be loyal to the United States
47,How old do citizens have to be to vote for President?,eighteen (18) and older
48,When is the last day you can send in federal income tax forms?,April 15
49,When must all men register for the Selective Service?,at age eighteen (18); between eighteen (18) and twenty-six (26)
50,Who was President during the Great Depression and World War II?,(Franklin) Roosevelt
51,Who did the United States fight in World War II?,"Japan, Germany, and Italy"
52,What movement tried to end racial discrimination?,civil rights (movement)
53,"What major event happened on September 11, 2001, in the United States?",Terrorists attacked the United States.
54,What is the capital of the United States?,"Washington, D.C."
55,What is the name of the national anthem?,The Star-Spangled Banner
58,What is one reason colonists came to America?,freedom; political liberty; religious freedom; economic opportunity; practice their religion; escape persecution
59,Who lived in America before the Europeans arrived?,American Indians; Native Americans
60,What group of people was taken to America and sold as slaves?,Africans; people from Africa
61,Why did the colonists fight the British?,"because of high taxes (taxation without representation); because the British army stayed in their houses (boarding, quartering); because they didn’t have self-government"
62,Who wrote the Declaration of Independence?,(Thomas) Jefferson
63,When was the Declaration of Independence adopted?,"July 4, 1776"
64,There were 13 original states. Name three.,New Hampshire; Massachusetts; Rhode Island; Connecticut; New York; New Jersey; Pennsylvania; Delaware; Maryland; Virginia; North Carolina; South Carolina; Georgia
65,What happened at the Constitutional Convention?,The Constitution was written; The Founding Fathers wrote the Constitution.
66,When was the Constitution written?,1787
67,The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.,(James) Madison; (Alexander) Hamilton; (John) Jay; Publius
68,What is one thing Benjamin Franklin is famous for?,U.S. diplomat; oldest member of the Constitutional Convention; first Postmaster General of the United States; writer of “Poor Richard’s Almanac”; started the first free libraries
69,Who is the 'Father of Our Country'?,(George) Washington
70,Who was the first President?,(George) Washington
71,What territory did the United States buy from France in 1803?,the Louisiana Territory; Louisiana
72,Name one war fought by the United States in the 1800s.,War of 1812; Mexican-American War; Civil War; Spanish-American War
73,Name the U.S. war between the North and the South.,the Civil War; the War between the States
74,Name one problem that led to the Civil War.,slavery; economic reasons; states’ rights
75,What was one important thing that Abraham Lincoln did?,freed the slaves (Emancipation Proclamation); saved (or preserved) the Union; led the United States during the Civil War
76,What did the Emancipation Proclamation do?,freed the slaves; freed slaves in the Confederacy; freed slaves in the Confederate states; freed slaves in most Southern states
77,What did Susan B. Anthony do?,fought for women’s rights; fought for civil rights
